"station","arrondissement","lat","long","dur","mm","jj","temp","precip"
"Roy / St-Denis","Le Plateau-Mont-Royal",45.51908,-73.5727,11.8777833333333,9,3,19.8,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",45.4967606775214,-73.5702763560084,5.81328333333333,10,4,21.4,0
"La Ronde","Ville-Marie",45.5215653671063,-73.5353323817253,21.4527666666667,10,7,13.1,1.4
"Métro Charlevoix (Charlevoix / Centre)","Le Sud-Ouest",45.4784006436677,-73.5691775195664,26.82645,7,3,22.8,77
"Berri / Cherrier","Le Plateau-Mont-Royal",45.5192661569113,-73.5692971944809,65.3531,7,1,20.9,0.4
"Messier / du Mont-Royal","Le Plateau-Mont-Royal",45.53711414,-73.5710031,7.77883333333333,5,3,23.8,4.1
"Parc Félix-Leclerc (François-Boivin / St-Zotique)","Mercier - Hochelaga-Maisonneuve",45.5914549914687,-73.5627552866936,7.06408333333333,9,2,15.7,0
"Laval / Duluth","Le Plateau-Mont-Royal",45.5191926178386,-73.5771592613492,12.0092,7,5,21,0
"Peel / Ottawa","Le Sud-Ouest",45.4941995535705,-73.5599845647812,28.4750166666667,9,7,21.7,0
"St-Alexandre / Ste-Catherine","Ville-Marie",45.5052735403446,-73.5674786567688,5.8462,10,4,9.6,1
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",45.5182529085522,-73.5883381962776,3.56378333333333,9,4,20.7,0
"Drolet / Marie-Anne","Le Plateau-Mont-Royal",45.5224025734141,-73.5811766982079,6.87748333333333,10,4,9.6,1
"Boyer / Rosemont","Rosemont - La Petite-Patrie",45.5340986680406,-73.5955345630646,7.42198333333333,7,3,25.3,9
"Mackay / de Maisonneuve","Ville-Marie",45.496840189747,-73.5792407642475,7.40813333333333,7,6,23.1,1.9
"Marquette / du Mont-Royal","Le Plateau-Mont-Royal",45.5322179114747,-73.575431406498,13.2820833333333,7,7,19.5,0
"16e avenue / St-Joseph","Rosemont - La Petite-Patrie",45.5529361127727,-73.5657714307308,112.316416666667,8,1,17.4,20.4
"BAnQ (Berri)","Ville-Marie",45.5160138767067,-73.5629195719957,37.7662833333333,7,6,23.1,1.9
